"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?"
fqporkmix,food_frequency,,radio,"Platos mixtos con carne de cerdo","0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqham,food_frequency,,radio,Jam,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqribs,food_frequency,,radio,"Costillas: de res o cerdo","0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqlamb,food_frequency,,radio,Cordero,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqliver,food_frequency,,radio,H,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqorgan,food_frequency,,radio,"Otras v","0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqfastburgersz,food_frequency,,radio,"Si usted come hamburguesas de restaurante de comida r","1, Regular/sencilla | 2, doble o 1/4 de libra | 3, ""Whopper"" | 4, ""Big Mac"" | 5, Quesoburguesa (""Cheeseburguer"") | 6, Doble o 1/4 de libra con queso | 7, ""Whopper"" con queso",,,,,,,,,,,
fqgroundbeeftype,food_frequency,,radio,"Si usted come tortitas de carne hecha en casa y/o carne de res o cerdo molida (incl. pastel de carne/ meatloaf) la carne es generalmente ...","1, Regular | 2, Baja en grasa | 3, Poca grasa",,,,,,,,,,,
fqgroundbeefpor,food_frequency,,radio,"Si usted come tortitas de carne y/o carne de res o de cerdo molida, su porci","1, 1 tortita peque",,,,,,,,,,,
fqbeefmixtype,food_frequency,,checkbox,"Si usted come platos mixtos hechos con carne de res o cerdo, (Ej: carne guisada), generalmente los prepara al  ","1, Estilo americano | 2, Estilo puertorrique","(marque todas las que apliquen)",,,,,,,,,,
fqbeefmixpor,food_frequency,,radio,"Si usted come platos mixtos hechos con carne de res o cerdo, su porci","1, 1 taza | 2, 2 tazas | 3, 3 tazas | 4, 4 tazas o m",,,,,,,,,,,
fqmeatpor,food_frequency,,radio,"Si usted come carne de res, cerdo o cordero, su  porci","1, 2 onzas | 2, 4 onzas | 3, 6 onzas | 4, 8 onzas o m","(3 oz. es m",,,,,,,,,,
fqorganpor,food_frequency,,radio,"Si usted come h","1, 2 onzas | 2, 4 onzas | 3, 6 onzas | 4, 8 onzas o m",,,,,,,,,,,
fqmeatsum,food_frequency,"PREGUNTA RESUMEN",radio,"Usualmente, ","0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqfastchick,food_frequency,AVES,radio,,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqgroundchick,food_frequency,,radio,"Pollo/pavo molido (incl. tortitas hechas en casa, alb","0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqchickmix,food_frequency,,radio,"Platos mixtos con pollo (Ej. Pastel","0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqchick,food_frequency,,radio,"Pollo o pavo; a la parrilla, horneado, Asado","0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqchickfry,food_frequency,,radio,"Pollo frito (incl. nuggets de restaurante KFC)","0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqchicksalad,food_frequency,,radio,"Ensalada de pollo o pavo con mayonesa","0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqchickliver,food_frequency,,radio,H,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqgroundchickpor,food_frequency,,radio,"Si usted come tortitas de pollo hechas en casa y/o pollo/pavo molido (incl. pastel","1, 1 tortita peque",,,,,,,,,,,
fqchickmixtype,food_frequency,,checkbox,"Si usted come platos mixtos con pollo/pavo, usted generalmente los prepara al ","1, Estilo americano | 2, Estilo puertorrique","(marque todas las que apliquen)",,,,,,,,,,
fqchickmixpor,food_frequency,,radio,"Si usted come otros platos mixtos con pollo/pavo (incl. pastel de pollo) su porci","1, 1/2 taza | 2, 1 taza | 3, 1 1/2 taza | 4, 2 tazas o m",,,,,,,,,,,
fqchicktype,food_frequency,,radio,"Si usted come pollo o pavo, a la parrilla, horneado y/o asado, ","1, Carne blanca | 2, Carne oscura | 3, Ambas",,,,,,,,,,,
fqchickskin,food_frequency,,radio,,"1, Nunca | 2, A veces | 3, Seguido/siempre",,,,,,,,,,,
fqchickpor,food_frequency,,radio,"Si usted come pollo o pavo, horneado o frito, su porci","1, 2 onzas (1 muslo o cadera) | 2, 4 onzas (1 pechuga o 1 pierna entera = muslo y cadera) | 3, 6 onzas | 4, 8 onzas o m",,,,,,,,,,,
fqchicksaladpor,food_frequency,,radio,"Si usted come ensalada de pollo o pavo, su porci","1, 1/2 taza | 2, 1 taza | 3, 1 1/2 tazas | 4, 2 tazas o m","(1/2 taza preparada = aprox. 1/2 lata de 6 onzas y 2 cucharadas de mayonesa) ",,,,,,,,,,
fqchickliverpor,food_frequency,,radio,"Si usted come h","1, 1 onza | 2, 2 onzas | 3, 3 onzas | 4, 4 onzas",,,,,,,,,,,
fqpoultrysum,food_frequency,"PREGUNTA RESUMEN",radio,"Usualmente, ","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqfastfish,food_frequency,PESCADO,radio,,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqshfishfried,food_frequency,,radio,"Mariscos fritos (Ej. Almejas fritas, camarones)","0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqshfish,food_frequency,,radio,"Mariscos no fritos (Ej. langosta, moluscos, camarones, almejas)","0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqfishfried,food_frequency,,radio,"Pescado frito (Ej. filetes empanados)","0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqsalmon,food_frequency,,radio,Salm,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqtuna,food_frequency,,radio,At,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqtunasalad,food_frequency,,radio,"Ensalada de at","0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqbacalao,food_frequency,,radio,Bacalao,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqsardine,food_frequency,,radio,"Sardinas o anchoas","0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqotherfish,food_frequency,,radio,"Otros pescados, no fritos (Ej. Chillo, Sierra, Tilapia, Pardo, Mero, Rodaballo, Haddock, Tilapia, Mahi Mahi)","0, Nunca | 1, menos de 1 vez por mes | 2, 1 por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqshfishpor,food_frequency,,radio,"Si usted come mariscos, su porci","1, 3 onzas o 1/2 taza | 2, 6 onzas o 1 taza | 3, 9 onzas  o 1 1/2 taza | 4, 12 onzas o 2 tazas o m",,,,,,,,,,,
fqfishpor,food_frequency,,radio,"Si usted come pescado, su porci","1, 3 onzas o 1/2 taza | 2, 6 onzas o 1 taza | 3, 9 onzas  o 1 1/2 taza | 4, 12 onzas o 2 tazas o m","(1 filete = aprox. 3 onzas)",,,,,,,,,,
fqcanfishtype,food_frequency,,radio,"Si usted come tuna enlatada y/u otro pescado enlatado, generalmente es... ","1, En aceite | 2, En agua | 3, Cualquiera",,,,,,,,,,,
fqtunasaladpor,food_frequency,,radio,"Si usted come ensalada de tuna, su porci","1, 1/2 taza | 2, 1 taza | 3, 1 1/2 tazas | 4, 2 tazas o m","(1/2 taza preparada = aprox. 1/2 lata de 6 onzas & 2 cucharadas de mayonesa)",,,,,,,,,,
fqsardinepor,food_frequency,,radio,"Si usted come sardinas y/o anchoas, su porci","1, 1/4 de lata | 2, 1/2 lata | 3, 3/4 de lata 4, 1 lata o m","(1 lata = 3.5 onzas) ",,,,,,,,,,
fqfishsum,food_frequency,"PREGUNTA RESUMEN",radio,"Usualmente, ","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqchickcuts,food_frequency,"EMBUTIDOS, CHORIZOS Y TOCINETAS",radio,,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqbeefcuts,food_frequency,,radio,"Carne fr","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqhamcuts,food_frequency,,radio,Jam,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqothercuts,food_frequency,,radio,"Otros embutidos (Ej. Salami, Bologna, Corned beef)","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqspam,food_frequency,,radio,"Jamonilla (Spam), preparada cualquier estilo","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqhotdog,food_frequency,,radio,"Salchicha, o Hot dog","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqsausage,food_frequency,,radio,"Chorizo (no de desayuno)","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqbrksausage,food_frequency,,radio,"Choricitos de desayuno, o salchichas de desayuno","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqbacon,food_frequency,,radio,"Tocineta, carne seca","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqcutstype,food_frequency,,radio,"Si usted come embutidos, estos son generalmente ","1, Regular | 2, Bajos en grasa | 3, Poca grasa | 4, Sin grasa",,,,,,,,,,,
fqchzsand,food_frequency,,radio,,"1, Nunca | 2, Algunas veces | 3, Muchas veces/siempre",,,,,,,,,,,
fqcutspor,food_frequency,,radio,"Si usted come embutidos, su porci","1, 1 rebanada | 2, 2 rebanadas | 3, 3 rebanadas | 4, 4 rebanadas o m",,,,,,,,,,,
fqhotdogtype,food_frequency,,radio,"Si usted come salchichas, tocinetas y/o chorizos son generalmente ...","1, Regular | 2, Bajo en grasa | 3, De pollo o pavo",,,,,,,,,,,
fqhotdogpor,food_frequency,,radio,"Si usted come salchichas y/o chorizos su porci","1, 1 Porci",,,,,,,,,,,
fqbaconpor,food_frequency,,radio,"Si usted come tocineta, carne seca y/o choricitos de desayuno, su porci","1, 1 rebanada o trozo | 2, 2 rebanadas o trozos | 3, 3 rebanadas o trozos | 4, 4 rebanadas o trozos o m",,,,,,,,,,,
fqmayoketch,food_frequency,CONDIMENTOS,radio,,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqmayo,food_frequency,,radio,"Mayonesa o salsa t","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqdressing,food_frequency,,radio,"Aderezo de ensalada (salad dressing)","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqsoysauce,food_frequency,,radio,"Salsa de soya, salsa teriyaki, salsa de barbacoa (BBQ)","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqketchup,food_frequency,,radio,"Salsa de tomate (ketchup)","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqmustard,food_frequency,,radio,"Mostaza (mustard)","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqkraut,food_frequency,,radio,"Repollo encurtido (sauerkraut)","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqpickle,food_frequency,,radio,"Pepinillos encurtidos, r","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqolive,food_frequency,,radio,"Aceitunas (olives)","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqgarlic,food_frequency,,radio,"Ajo, fresco o en polvo","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqsour,food_frequency,,radio,"Salsa agridulce, salsa de pato (duck sauce)","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqsalsa,food_frequency,,radio,"Salsa (de tomate, cebolla y aj","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqjalapeno,food_frequency,,radio,Aj,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqchile,food_frequency,,radio,"Salsa de tomate verde o aj","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqgravy,food_frequency,,radio,"Jugos de carne (gravy, caldo)  o salsa blanca (en carnes, papas, arroz y/o panecillos)","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqlemon,food_frequency,,radio,Lim,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqherbs,food_frequency,,radio,"Hierbas/especias, frescas o secas (Ej. cilantro)","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqcinnamon,food_frequency,,radio,Canela,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqadobo,food_frequency,,radio,Adobo,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqmayotype,food_frequency,,radio,"Si usted usa mayonesa o mayo-ketchup, estas son generalmente ... ","1, Regular | 2, Baja en grasa | 3, Sin grasa",,,,,,,,,,,
fqmayopor,food_frequency,,radio,"Si usted usa mayonesa o mayo-ketchup, su porci","1, 1 cucharada | 2, 2 cucharadas | 3, 3 cucharadas | 4, 4 cucharadas o m",,,,,,,,,,,
fqdressingtype,food_frequency,,radio,"Si usted usa aderezo de ensalada, es generalmente ... ","1, De crema | 2, De aceite | 3, Ambos",,,,,,,,,,,
fqdressingfat,food_frequency,,radio,"Si usted usa aderezo de ensalada, es generalmente... ","1, Regular | 2, Bajo en grasa/bajo en calor",,,,,,,,,,,
fqdressingpor,food_frequency,,radio,"Si usted usa aderezo de ensalada, su porci","1, 1 cucharada | 2, 2 cucharadas | 3, 3 cucharadas | 4, 4 cucharadas o m",,,,,,,,,,,
fqsaucepor,food_frequency,,radio,"Si usted usa salsas, salsa de tomate (ketchup), mostaza y/o encurtidos, su porci","1, 1 cucharadita | 2, 2 cucharaditas | 3, 3 cucharaditas | 4, 4 cucharaditas o m",,,,,,,,,,,
fqsalsapor,food_frequency,,radio,"Si usted usa salsa estilo mexicano, o de tomate verde, aj","1, 1 cucharada | 2, 2 cucharadas | 3, 3 cucharadas | 4, 4 cucharadas o m",,,,,,,,,,,
fqgravypor,food_frequency,,radio,"Si usted usa jugos de carne (caldo) o salsa blanca, su porci","1, 1/4 de taza | 2, 1/2 taza | 3, 3/4 de taza | 4, 1 taza o m",,,,,,,,,,,
fqherbtype,food_frequency,,radio,"Si usted cocina con ajo y/o hierbas/especias, generalmente los usa","1, Frescos | 2, Secos | 3, Ambos",,,,,,,,,,,
fqclamsoup,food_frequency,SOPAS,radio,,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqcreamsoup,food_frequency,,radio,"Sopas a base de crema (Ej. Crema de ma","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqbeansoup,food_frequency,,radio,"Sopa de habichuelas, lentejas, guisantes","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqhomesoup,food_frequency,,radio,"Sopa estilo casero o hecha en casa, con carne o pollo (Ej. Gumbo, sancocho)","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqveghomesoup,food_frequency,,radio,"Sopa estilo casero o hecha en casa, sin carne","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqchicksoup,food_frequency,,radio,"Sopa de fideos con pollo, fideos ramen y/o sopa de arroz y pollo; enlatada o instant","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqvegsoup,food_frequency,,radio,"Sopa de vegetales y/o a base de tomate; enlatada o instant","0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
fqhomesouppor,food_frequency,,radio,"Si usted come sopa de habichuelas y/o sopas hechas en casa, su porci","1, 1 taza | 2, 2 tazas | 3, 3 tazas | 4, 4 tazas o m",,,,,,,,,,,
fqcansouppor,food_frequency,,radio,"Si usted toma sopa enlatada o instant","1, 1/2 taza | 2, 1 taza | 3, 1 1/2 taza | 4, 2 tazas o m",,,,,,,,,,,
fqmilk,food_frequency,"PRODUCTOS L",radio,,"0, Nunca | 1, menos de 1 vez por mes | 2, 1 vez por mes | 3, 2 - 3 veces por mes | 4, 1 vez por semana | 5, 2 veces por semana | 6, 3 - 4 veces por semana | 7, 5 - 6 veces por semana | 8, 1 vez por d",,,,,,,,,,,
